,Unnamed: 0,nb_reuse,tools,nb_own,list_own,nb_contrib,list_contrib,nb_wf,list_wf
1089,1089,36,['kraken2'],29,"['nf-core', 'cometsong', 'evanfloden', 'vibbits', 'zamanianlab', 'junyu-boston', 'noamteyssier', 'mbosio85', 'bioatlas', 'esrice', 'gates-mri-bioinformatics', 'bigbio', 'oisinmccaffrey', 'alexpiper', 'NorwegianVeterinaryInstitute', 'bcgsc', 'nibscbioinformatics', 'lengfei5', 'jtmccr1', 'czbiohub', 'tdelhomme', 'emmakwiener', 'MicrobialGenomics', 'maxibor', 'chelauk', 'luslab', 'markgene', 'pblaney', 'brentp']",119,"['husensofteng', 'batson', 'rsuchecki', 'cometsong', 'nf-core-bot', 'sven1103', 'danrlu', 'saramonzon', 'Galithil', 'mzamanian', 'amchakra', 'kviljoen', 'ktrns', 'esrice', 'aanil', 'sureshhewabi', 'kaitlinchaung', 'MicrobialGenomics', 'chelauk', 'jemten', 'na399', 'FriederikeHanssen', 'markgene', 'drewjbeh', 'KevinMenden', 'kcleal', 'robsyme', 'pblaney', 'stevekm', 'jackkamm', 'alneberg', 'apeltzer', 'stevin-wilson', 'DiegoBrambilla', 'marc-jones', 'jgriss', 'evanfloden', 'Rotholandus', 'jordwil', 'colindaven', 'alexpiper', 'orionzhou', 'lengfei5', 'amayer21', 'jtmccr1', 'tdelhomme', 'drejom', 'samlhao', 'silviamorins', 'vezzi', 'ewels', 'grst', 'jcurado-flomics', 'george-hall-ucl', 'marchoeppner', 'jburos', 'RichardCorbett', 'chenthorn', 'jinmingda', 'pditommaso', 'drpowell', 'olgabot', 'chris-cheshire', 'rfenouil', 'maxulysse', 'liameabbott', 'tmuylder', 'xec-cm', 'neevor', 'mbosio85', 'mvanins', 'oisinmccaffrey', 'c-mertes', 'pcantalupo', 'mashehu', 'emmakwiener', 'lpantano', 'senthil10', 'ypriverol', 'Emiller88', 'CharlotteAnne', 'JoseEspinosa', 'BABS-STP1', 'd4straub', 'antunderwood', 'brentp', 'pranathivemuri', 'snafees', 'veeravalli', 'paulklemm', 'matrulda', 'SpikyClip', 'noamteyssier', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'adomingues', 'jun-wan', 'mwalzer', 'skrakau', 'zxl124', 'MGordon09', 'svarona', 'heuermh', 'Thomieh73', 'mahesh-panchal', 'tiagochst', 'maxibor', 'abhi18av', 'ppericard', 'ErikaKvalem', 'alexthiery', 'chuan-wang', 'charlotte-west', 'ggabernet', 'arontommi', 'drpatelh', 'winni2k', 'erikrikarddaniel']",34,"['humann-nf', 'nf-unsplicedcds', 'reference-database', 'cutnrun', 'ampliflow', 'nf-sicilian', 'ngs_variant_calling', 'nf-core-bagobugs', 'nextflow_pipelines', 'mnaseseq', 'ATAC_Seq_nxf', 'rare-disease-wf', 'viralrecon', 'mgp1000', 'Talos', 'piperline', 'chipseq-nextflow', 'bft-nf', 'nf-core-umi_preprocessing', 'PhD-CNV-Analysis', 'Core_RNAseq-nf', 'workflows', 'nf-workflows', 'nf-module-demo', 'TTrichiura_Tubulin', 'atacseq_nf', 'clipseq.nextflow', 'rnaseq', 'vcf_ancestry-nf', 'TMBur', 'sc2-illumina-pipeline', 'nf-core-modules', 'sc2-ngs-analysis', 'dicerna-rnaseq']"
1090,1090,28,['MultiQC'],25,"['nf-core', 'cometsong', 'evanfloden', 'telatin', 'noelnamai', 'vibbits', 'junyu-boston', 'epi2me-labs', 'noamteyssier', 'mbosio85', 'bioatlas', 'esrice', 'bigbio', 'oisinmccaffrey', 'NorwegianVeterinaryInstitute', 'ablab', 'nibscbioinformatics', 'lengfei5', 'czbiohub', 'MicrobialGenomics', 'maxibor', 'chelauk', 'lwratten', 'pblaney', 'becavin-lab']",101,"['husensofteng', 'rsuchecki', 'batson', 'cometsong', 'nf-core-bot', 'sven1103', 'danrlu', 'saramonzon', 'noelnamai', 'Galithil', 'kviljoen', 'ktrns', 'esrice', 'aanil', 'sureshhewabi', 'MicrobialGenomics', 'chelauk', 'jemten', 'na399', 'FriederikeHanssen', 'drewjbeh', 'KevinMenden', 'robsyme', 'pblaney', 'stevekm', 'jackkamm', 'alneberg', 'apeltzer', 'stevin-wilson', 'DiegoBrambilla', 'sarahjeeeze', 'jgriss', 'evanfloden', 'jordwil', 'colindaven', 'dshafranskaya', 'orionzhou', 'lengfei5', 'amayer21', 'drejom', 'samlhao', 'silviamorins', 'vezzi', 'ewels', 'grst', 'jcurado-flomics', 'marchoeppner', 'jburos', 'jinmingda', 'pditommaso', 'olgabot', 'rfenouil', 'maxulysse', 'tmuylder', 'telatin', 'xec-cm', 'neevor', 'mbosio85', 'mvanins', 'oisinmccaffrey', 'cjw85', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'vmikk', 'senthil10', 'ypriverol', 'asl', 'JoseEspinosa', 'BABS-STP1', 'antunderwood', 'd4straub', 'drbecavin', 'pranathivemuri', 'veeravalli', 'paulklemm', 'matrulda', 'noamteyssier', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'jun-wan', 'mwalzer', 'alexhbnr', 'skrakau', 'zxl124', 'MGordon09', 'svarona', 'heuermh', 'Thomieh73', 'maxibor', 'ErikaKvalem', 'ppericard', 'abhi18av', 'lwratten', 'chuan-wang', 'ggabernet', 'arontommi', 'drpatelh', 'erikrikarddaniel']",27,"['nextflow-example', 'ampliflow', 'ngs_variant_calling', 'nextflow_pipelines', 'ATAC_Seq_nxf', 'viralrecon', 'mgp1000', 'Talos', 'chipseq-nextflow', 'nf-core-umi_preprocessing', 'nf-core-buggybarcodes', 'differential-expression-analysis', 'workflows', 'nf-workflows', 'nanorna-bam', 'TTrichiura_Tubulin', 'nf-blast', 'transXpress-nf', 'nf-core-trimmomatic', 'graphamr', 'atacseq_nf', 'clipseq.nextflow', 'splicemotifs', 'wf-transcript-target', 'sc2-illumina-pipeline', 'madman', 'dicerna-rnaseq']"
1102,1102,4,"['seqtk', 'FastQC']",4,"['nf-core', 'seandavi', 'codingene', 'Mxrcon']",11,"['tbugfinder', 'seandavi', 'maxulysse', 'sk-sahu', 'nf-core-bot', 'Mxrcon', 'subwaystation', 'ggabernet', 'ewels', 'apeltzer', 'KevinMenden']",4,"['nextflow-base', 'nf-core-cmgd', 'airrflow', 'Nextflow-study']"
1109,1109,4,['SAMtools'],4,"['NBISweden', 'nf-core', 'cirrina', 'xiaoli-dong']",108,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'aersoares81', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'cirrina', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",4,"['pathogen', 'Earth-Biogenome-Project-pilot', 'ctg-rnaseq', 'modules']"
1118,1118,34,"['seqtk', 'BWA', 'SAMtools', 'SAMtools', 'SAMtools']",26,"['nf-core', 'peterk87', 'harleenduggal', 'xiaoli-dong', 'telatin', 'replikation', 'gis-rpd', 'cimendes', 'mageshwarm', 'nibscbioinformatics', 'njspix', 'czbiohub', 'NCBI-Codeathons', 'icgc-argo-workflows', 'sanger-tol', 'sheynkman-lab', 'kingzhuky', 'chelauk', 'luslab', 'lwratten', 'lifebit-ai', 'sickle-in-africa', 'jgolob', 'leipzig', 'ralsallaq', 'SystemsGenetics']",123,"['rsuchecki', 'nf-core-bot', 'sven1103', 'Galithil', 'amchakra', 'kviljoen', 'aanil', 'ksaunders73', 'malinlarsson', 'njspix', 'andreas-wilm', 'azure-pipelines[bot]', 'chelauk', 'jemten', 'na399', 'FriederikeHanssen', 'KevinMenden', 'robsyme', 'jgolob', 'alneberg', 'apeltzer', 'leipzig', 'BeibeiDu', 'DiegoBrambilla', 'alexa-salsbury', 'Rahul1711arora', 'evanfloden', 'Zethson', 'cimendes', 'replikation', 'jordwil', 'jtangrot', 'mageshwarm', 'colindaven', 'orionzhou', 'sminot', 'amayer21', 'cwytko', 'lindaxiang', 'drejom', 'silviamorins', 'vezzi', 'ewels', 'grst', 'saioruganti', 'adrlar', 'marchoeppner', 'george-hall-ucl', 'asafpr', 'jburos', 'pditommaso', 'drpowell', 'olgabot', 'davidmasp', 'JohnHadish', 'chris-cheshire', 'rfenouil', 'maxulysse', 'telatin', 'bj8th', 'kaurravneet4123', 'kkuret', 'mult1fractal', 'mvanins', 'PhilPalmer', 'c-mertes', 'jpfeuffer', 'pcantalupo', 'mashehu', 'lpantano', 'candiceh08', 'vmikk', 'kingzhuky', 'senthil10', 'spficklin', 'Emiller88', 'ypriverol', 'CharlotteAnne', 'JoseEspinosa', 'mariach', 'BABS-STP1', 'd4straub', 'priyanka-surana', 'peterk87', 'pranathivemuri', 'Vlad-Dembrovskyi', 'biggstd', 'xiaoli-dong', 'veeravalli', 'paulklemm', 'matrulda', 'ojziff', 'SpikyClip', 'Hammarn', 'sofiahaglund', 'bentsherman', 'adomingues', 'jun-wan', 'zxl124', 'skrakau', 'juneb4869', 'emnilsson', 'lconde-ucl', 'mahesh-panchal', 'YanFangBio', 'drice-codeathons', 'abhi18av', 'ppericard', 'szilvajuhos', 'luisas', 'alexthiery', 'lwratten', 'lescai', 'TrisKast', 'chuan-wang', 'pprieto', 'jfnavarro', 'ggabernet', 'arontommi', 'drpatelh', 'ralsallaq', 'jackmo375', 'erikrikarddaniel']",32,"['nextflow-example', 'nf-core-viralevo', 'scoop', 'GEMmaker', 'IsoSeq-Nextflow', 'cageseq', 'nf-core-umipreprocessing', 'metaGx_nf', 'DeepVariant', 'maliampi', 'proteomicslfq', 'rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf', 'docker_pipelines', 'test_nextflow_sarek', 'metaFlow', 'saw.sarek', 'rnaseq-nf-magesh', 'nf-core-umi_preprocessing', 'readmapping', 'nfcore-rnaseq', 'magph', 'ref_genomes', 'm6a', 'nf-virontus', 'nanorna', 'splicemotifs', 'meripseqpipe', 'ampliseq', 'nf-clip', 'nf-core-hlatyping', 'lung-rna-seq', 'open-access-variant-filtering']"
1152,1152,55,['kraken2'],46,"['nf-core', 'cometsong', 'tamara-hodgetts', 'supark87', 'becavin-lab', 'evanfloden', 'telatin', 'noelnamai', 'vibbits', 'guigolab', 'zamanianlab', 'junyu-boston', 'eQTL-Catalogue', 'mbradyneeley', 'epi2me-labs', 'hoelzer', 'noamteyssier', 'brucemoran', 'mbosio85', 'bioatlas', 'jvierstra', 'NailouZhang', 'gates-mri-bioinformatics', 'bigbio', 'oisinmccaffrey', 'Simontuk', 'nibscbioinformatics', 'lengfei5', 'dakehero', 'jtmccr1', 'czbiohub', 'gongyh', 'maxibor', 'chelauk', 'markgene', 'lwratten', 'ksumngs', 'pblaney', 'cbcrg', 'wslh-bio', 'stevekm', 'h3abionet', 'brentp', 'marcodelapierre', 'ralsallaq', 'savytskanatalia']",121,"['husensofteng', 'rsuchecki', 'cometsong', 'nf-core-bot', 'sven1103', 'MarieLataretu', 'saramonzon', 'noelnamai', 'Galithil', 'mzamanian', 'kviljoen', 'ktrns', 'aanil', 'sureshhewabi', 'Simontuk', 'mamanambiya', 'chelauk', 'jemten', 'na399', 'markgene', 'FriederikeHanssen', 'drewjbeh', 'KevinMenden', 'kcleal', 'robsyme', 'pblaney', 'stevekm', 'alneberg', 'apeltzer', 'stevin-wilson', 'mbradyneeley', 'DiegoBrambilla', 'sarahjeeeze', 'tamara-hodgetts', 'jgriss', 'evanfloden', 'Rotholandus', 'hoelzer', 'jordwil', 'colindaven', 'orionzhou', 'lengfei5', 'amayer21', 'drejom', 'gongyh', 'silviamorins', 'vezzi', 'ewels', 'grst', 'jcurado-flomics', 'marchoeppner', 'jburos', 'chenthorn', 'jinmingda', 'pditommaso', 'kauralasoo', 'olgabot', 'marcodelapierre', 'rfenouil', 'maxulysse', 'liameabbott', 'lekhakaranam', 'tmuylder', 'supark87', 'telatin', 'ameintjes', 'mbosio85', 'mvanins', 'oisinmccaffrey', 'cjw85', 'pcantalupo', 'mashehu', 'lpantano', 'vmikk', 'senthil10', 'ypriverol', 'JoseEspinosa', 'BABS-STP1', 'antunderwood', 'd4straub', 'drbecavin', 'brentp', 'savytskanatalia', 'phoenixAja', 'MillironX', 'pranathivemuri', 'snafees', 'veeravalli', 'k-florek', 'AbigailShockey', 'paulklemm', 'matrulda', 'brucemoran', 'noamteyssier', 'MiguelJulia', 'sofiahaglund', 'Hammarn', 'jvierstra', 'sjsabin', 'emi80', 'jun-wan', 'mwalzer', 'skrakau', 'zxl124', 'MGordon09', 'svarona', 'heuermh', 'bluegenes', 'tiagochst', 'maxibor', 'ErikaKvalem', 'ppericard', 'abhi18av', 'lwratten', 'chuan-wang', 'ggabernet', 'arontommi', 'drpatelh', 'winni2k', 'ralsallaq', 'erikrikarddaniel']",52,"['nextflow-example', 'nf-unsplicedcds', 'nf-core-scgs', 'reference-database', 'smallRNA_nf', 'cutnrun', 'ampliflow', 'nf-core-virome', 'dryad', 'nf-simulaternaseq', 'ngs_variant_calling', 'nf-core-bagobugs', 'kraken-nf', 'nextflow_pipelines', 'ATAC_Seq_nxf', 'minion_hrp2', 'nf-index', 'metaGx_nf', 'rare-disease-wf', 'viralrecon', 'STARmap', 'mgp1000', 'nf-phdcourse19', 'nf-core-phylofunk', 'chipseq-nextflow', 'RNASeq_Pipeline', 'nf-core-umi_preprocessing', 'genotype_qc', 'v-met', 'differential-expression-analysis', 'DNAseq_references', 'chipimputation_evaluate_chips', 'trinity-nf', 'Core_RNAseq-nf', 'nf-predictorthologs', 'LGAflow', 'nf-workflows', 'nf-rnaseq', 'nf-module-demo', 'transXpress-nf', 'sprint_covseq', 'nf-large-assembly', 'nextflow-samplesheet-demo', 'atacseq_nf', 'clipseq.nextflow', 'nanorna', 'clean', 'splicemotifs', 'wf-transcript-target', 'rnaseq-nf', 'dicerna-rnaseq', 'nf-atac-seq']"
1153,1153,35,['QIIME'],29,"['nf-core', 'cometsong', 'evdomene', 'evanfloden', 'telatin', 'noelnamai', 'vibbits', 'zamanianlab', 'junyu-boston', 'brucemoran', 'mbosio85', 'episkadlo', 'bioatlas', 'NailouZhang', 'gates-mri-bioinformatics', 'bigbio', 'beise93', 'juneb4869', 'nibscbioinformatics', 'lengfei5', 'alperyilmaz', 'czbiohub', 'oist', 'maxibor', 'chelauk', 'markgene', 'lwratten', 'pblaney', 'brentp']",189,"['husensofteng', 'batson', 'cometsong', 'Mxrcon', 'nf-core-bot', 'sven1103', 'rsuchecki', 'danrlu', 'saramonzon', 'noelnamai', 'Galithil', 'kviljoen', 'ktrns', 'aanil', 'sureshhewabi', 'Midnighter', 'kevbrick', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'chelauk', 'jemten', 'na399', 'FriederikeHanssen', 'markgene', 'drewjbeh', 'KevinMenden', 'kcleal', 'yocra3', 'robsyme', 'pblaney', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'jackkamm', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'DiegoBrambilla', 'Erkison', 'tamara-hodgetts', 'jgriss', 'charles-plessy', 'Darcy220606', 'evanfloden', 'Rotholandus', 'jordwil', 'rannick', 'episkadlo', 'colindaven', 'oschwengers', 'orionzhou', 'lengfei5', 'Jeremy1805', 'amayer21', 'AntoniaSchuster', 'avantonder', 'klkeys', 'drejom', 'samlhao', 'fmalmeida', 'suzannejin', 'riederd', 'silviamorins', 'sysbiocoder', 'vezzi', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'tamuanand', 'SPPearce', 'marchoeppner', 'jburos', 'jinmingda', 'jianhong', 'BBQuercus', 'pditommaso', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'm3hdad', 'chris-cheshire', 'rfenouil', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'liameabbott', 'evdomene', 'tmuylder', 'ajodeh-juma', 'telatin', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'neevor', 'mbosio85', 'mvanins', 'wheelern', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'candiceh08', 'vmikk', 'senthil10', 'spficklin', 'ypriverol', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'BABS-STP1', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'brentp', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'v-clarissa', 'pranathivemuri', 'muffato', 'Gwennid', 'veeravalli', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'paulklemm', 'matrulda', 'brucemoran', 'MiguelJulia', 'sofiahaglund', 'Hammarn', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'jun-wan', 'mwalzer', 'alexhbnr', 'skrakau', 'juneb4869', 'zxl124', 'beise93', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'alperyilmaz', 'mahesh-panchal', 'tiagochst', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'ErikaKvalem', 'ppericard', 'pericsson', 'phue', 'lescai', 'annacprice', 'lwratten', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'chuan-wang', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'winni2k', 'erikrikarddaniel']",33,"['nextflow-rnaseq', 'nextflow-example', 'RNAseq-VC-nf', 'new_meripseqpipe', 'reference-database', 'brbseqnf', 'cutnrun', 'ampliflow', 'modules', 'nf-core-virome', 'rnavar', 'ngs_variant_calling', 'ATAC_Seq_nxf', 'rare-disease-wf', 'afs505_u3', 'viralrecon', 'nextflow-jnj', 'mgp1000', 'nf-core-umi_preprocessing', 'nf-core-buggybarcodes', 'anglerFISH', 'differential-expression-analysis', 'DNAseq_references', 'nf-workflows', 'transXpress-nf', 'atacseq_nf', 'nanorna', 'splicemotifs', 'plessy_CAGEscan_Nextflow', 'sc2-illumina-pipeline', 'madman', 'nf-tracer', 'dicerna-rnaseq']"
1164,1164,2,['PLINK'],2,"['nf-core', 'PGScatalog']",106,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'smlmbrt', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",2,"['pgsc_calc', 'modules']"
1165,1165,2,"['BEDTools', 'BEDTools']",2,"['nf-core', 'PGScatalog']",12,"['maxulysse', 'nf-core-bot', 'nebfield', 'lwratten', 'csawye01', 'smlmbrt', 'ewels', 'alneberg', 'drpatelh', 'cying111', 'yuukiiwa', 'KevinMenden']",2,"['pgsc_calc', 'nanoseq']"
1381,1381,54,['GATK'],41,"['nf-core', 'cometsong', 'vpeddu', 'tamara-hodgetts', 'bibo3', 'SherineAwad', 'ntoda03', 'eQTL-Catalogue', 'hirenbioinfo', 'junyu-boston', 'mbosio85', 'esrice', 'bcgsc', 'mblanche', 'juneb4869', 'nibscbioinformatics', 'lengfei5', 'quinlan-lab', 'kmayerb', 'joshua-d-campbell', 'czbiohub', 'gongyh', 'sanger-tol', 'suzannejin', 'maxibor', 'chelauk', 'luslab', 'gaow', 'grpiccoli', 'bioShaun', 'vib-singlecell-nf', 'pblaney', 'elyadlezmi', 'stevekm', 'h3abionet', 'yuifu', 'brentp', 'leipzig', 'marcodelapierre', 'caspargross', 'biomedbigdata']",125,"['rsuchecki', 'batson', 'cometsong', 'nf-core-bot', 'sven1103', 'danrlu', 'saramonzon', 'Galithil', 'amchakra', 'kviljoen', 'ktrns', 'esrice', 'aanil', 'ghuls', 'octavia-c', 'mamanambiya', 'kmayerb', 'chelauk', 'jemten', 'na399', 'FriederikeHanssen', 'drewjbeh', 'KevinMenden', 'kcleal', 'robsyme', 'pblaney', 'stevekm', 'kalanir', 'jackkamm', 'yuifu', 'alneberg', 'apeltzer', 'leipzig', 'BeibeiDu', 'stevin-wilson', 'vpeddu', 'tamara-hodgetts', 'Rahul1711arora', 'hirenbioinfo', 'ralf-tambets', 'jordwil', 'colindaven', 'bleazard', 'orionzhou', 'lengfei5', 'amayer21', 'drejom', 'samlhao', 'gongyh', 'silviamorins', 'suzannejin', 'vezzi', 'ewels', 'dweemx', 'grst', 'jcurado-flomics', 'kerimoff', 'marchoeppner', 'bioShaun', 'jburos', 'RichardCorbett', 'jinmingda', 'pditommaso', 'kauralasoo', 'olgabot', 'marcodelapierre', 'caspargross', 'gaow', 'chris-cheshire', 'rfenouil', 'maxulysse', 'lekhakaranam', 'kkuret', 'ameintjes', 'vsoch', 'neevor', 'mbosio85', 'mvanins', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'candiceh08', 'senthil10', 'CharlotteAnne', 'JoseEspinosa', 'dependabot[bot]', 'BABS-STP1', 'antunderwood', 'd4straub', 'elyadlezmi', 'brentp', 'phoenixAja', 'priyanka-surana', 'pranathivemuri', 'bibo3', 'veeravalli', 'ntoda03', 'paulklemm', 'matrulda', 'ojziff', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'jun-wan', 'zxl124', 'skrakau', 'juneb4869', 'KrisDavie', 'svarona', 'heuermh', 'joshua-d-campbell', 'bluegenes', 'maxibor', 'ErikaKvalem', 'ppericard', 'abhi18av', 'alexthiery', 'lescai', 'brwnj', 'chuan-wang', 'cflerin', 'ggabernet', 'arontommi', 'drpatelh']",49,"['nf-core-scgs', 'nextflow', 'new_meripseqpipe', 'nf-core-denovohybrid', 'ngs_variant_calling', 'nf-core-partial-umi', 'ATAC_Seq_nxf', 'fastqc-nf', 'Nanopipe', 'FOG', 'rare-disease-wf', 'nextflow_cwl_example', 'viralrecon', 'illumina-nf', 'humgen', 'demo-shpc-nf', 'mgp1000', 'ev-meta', 'genimpute', 'nf-extractcoding', 'MuTect2_target_chunking', 'nf-core-mutectplatypus', 'RNA2CM', 'nf-core-circRNA-sponging', 'readmapping', 'popbom', 'chipimputation_evaluate_chips', 'cycleassembler', 'nf-predictorthologs', 'workflows', 'coproID', 'viralevo', 'm6a', 'knead-docker', 'fastq-bed-subset', 'atacseq_nf', 'vsn-pipelines', 'TMBur', 'sc2-illumina-pipeline', 'nf-GATK_Exome_Preprocess', 'xms-rnaseq-nf', 'nf-core-mytrial', 'nf-clip', 'nf-bowtie', 'nextflow-pipeline-demo', 'preon', 'nf-proportionality', 'dicerna-rnaseq', 'nf-atac-seq']"
