,list_contrib,list_own,list_wf,nb_contrib,nb_own,nb_reuse,nb_wf,tools
87,"{'timodonnell', 'laserson'}",{'lasersonlab'},{'lasersonlab/phip-stat/3'},2.0,1.0,1.0,1.0,['MarCat']
88,"{'susheelbhanu', 'linsalrob', 'Mass23', 'lfdelzam'}","{'linsalrob', 'Mass23', 'lfdelzam'}","{'Mass23/EUCI_microbiome/2', 'linsalrob/PPPF/1', 'lfdelzam/contig_taxonomy/1'}",4.0,3.0,8.0,3.0,"['MMseqs', 'MMseqs', 'MMseqs']"
89,"{'dijashis', 'liulab-dfci', 'baigal628', 'mmchaouchi', 'chenfeiwang', 'QiangTU', 'kant', 'crazyhottommy', 'DongqingSun', 'YutingPKU', 'HeyLifeHD', 'taoliu', 'mengxiao', 'DongqingSun96', 'dfloresDIL', 'nuan604'}","{'dijashis', 'liulab-dfci', 'mmchaouchi', 'YutingPKU', 'HeyLifeHD', 'dfloresDIL'}","{'dfloresDIL/MEGA/2', 'dfloresDIL/MEGA/4', 'dfloresDIL/MEGA/1', 'dfloresDIL/MEGA/3', 'dijashis/TP_WORKFLOW_SNAKEMAKE/1', 'mmchaouchi/Cloud/1', 'YutingPKU/Bulk_RNA-Seq_Workflow_Snakemake/11', 'liulab-dfci/MAESTRO/4', 'HeyLifeHD/ScSnakeMeth/1'}",16.0,6.0,9.0,9.0,"['SAMtools', 'SAMtools', 'Picard']"
90,"{'jrhawley', 'liulab-dfci', 'baigal628', 'josephhalstead', 'jimmybgammyknee', 'crazyhottommy', 'vaquerizaslab', 'alimadani', 'a-lud', 'ksw9', 'nandankita', 'FroiL-L', 'liz-is'}","{'liulab-dfci', 'josephhalstead', 'plantgenomicslab', 'LupienLab', 'vaquerizaslab', 'ksw9', 'UofABioinformaticsHub'}","{'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/4', 'ksw9/mtb_pipeline/1', 'josephhalstead/insilico_limit_of_detection/1', 'liulab-dfci/CHIPS/11', 'UofABioinformaticsHub/RNAseq_snakemake/1', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/3', 'LupienLab/pipeline-chromatin-accessibility/5', 'liulab-dfci/CHIPS/4', 'plantgenomicslab/ALLHiC_Pipeline/1'}",13.0,7.0,16.0,9.0,['Sambamba']
91,"{'terrimporter', 'nate-d-olson', 'gavinband', 'mw55309', 'sebpott', 'dbrg77', 'twsaari', 'yuxuth', 'Aexbrayat', 'jcmcnch', 'bsennblad', 'peterch405', 'bballew', 'bettybliu', 'heylf', 'Ducklegs17', 'andnischneider', 'dilworthlab', 'paulimer', 'rasi', 'tyh-19', 'ninsch3000', 'StephenRicher', 'gregdenay', 'dijashis', 'SimranChhabria', 'tkanholm', 'kkchau', 'hnawar', 'danlooo', 'jimkwon', 'DCGenomics', 'rhpvorderman', 'johnne', 'HanqingZhao97', 'cErikson', 'sterrettJD', 'AmitBinf', 'mlweilert', 'bow', 'dfloresDIL', 'hbandukw', 'agata-sm', 'biorosetics', 'Redmar-van-den-Berg', 'sndrtj', 'RussellJHRyan', 'loire', 'relorbany'}","{'bioinformatics-leibniz-hki', 'terrimporter', 'nate-d-olson', 'CVUA-RRW', 'sebpott', 'dbrg77', 'Xiuying', 'yuxuth', 'Aexbrayat', 'jcmcnch', 'BackofenLab', 'NLM-Reproducibility-Project', 'zavolanlab', 'Hajibabaei-Lab', 'LUMC', 'bettybliu', 'Ducklegs17', 'dilworthlab', 'andnischneider', 'paulimer', 'WatsonLab', 'tyh-19', 'Miachol', 'russell-ryan-lab', 'StephenRicher', 'bioxfu', 'dijashis', 'SimranChhabria', 'tkanholm', 'kkchau', 'jimkwon', 'recombinationlab', 'rasilab', 'NBISweden', 'cErikson', 'sterrettJD', 'mlweilert', 'dfloresDIL', 'agata-sm', 'biorosetics', 'longread-well', 'loire', 'slebedeva', 'relorbany'}","{'WatsonLab/GoogleMAGs/9', 'bioxfu/iCLIP/2', 'Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline/2', 'cErikson/GeneLab_DADA2_snakemake_Pipeline/1', 'Ducklegs17/tigersnakes/1', 'jimkwon/nar2020/1', 'agata-sm/piRNA-seq_pipeline/1', 'bettybliu/snakeATAC-singularity/1', 'loire/snakevirome/1', 'sebpott/dropseq_pipeline/1', 'sebpott/dropseq_pipeline/2', 'terrimporter/SCVURL_rbcL_metabarcode_pipeline/1', 'russell-ryan-lab/CRISPRi_pipeline/1', 'yuxuth/snake_hisat_cutadapt/1', 'CVUA-RRW/BAnalyzer/1', 'longread-well/shortread-pipeline/5', 'WatsonLab/GoogleMAGs/10', 'WatsonLab/GoogleMAGs/3', 'LUMC/HAMLET/7', 'NLM-Reproducibility-Project/Repro_PMID_29940028/1', 'rasilab/ribosome_collisions_yeast/3', 'StephenRicher/HiCFlow/1', 'SimranChhabria/miRNA-FeatureCounts/1', 'dfloresDIL/MEGA/4', 'WatsonLab/GoogleMAGs/1', 'WatsonLab/GoogleMAGs/7', 'bioxfu/iCLIP/1', 'agata-sm/5433_read_processing_pipelines/2', 'jimkwon/nar2020/2', 'dijashis/TP_WORKFLOW_SNAKEMAKE/1', 'zavolanlab/polyAsite_workflow/1', 'Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline/1', 'dilworthlab/CnT_pipeline_snakemake/1', 'NBISweden/LTS-A_Andersson_2010-MASCSEQ/1', 'kkchau/RNAseq_Pipeline/4', 'tyh-19/cfRNAseq/1', 'Miachol/hamlet/8', 'dbrg77/scATAC_snakemake/2', 'paulimer/RNA-seq-analysis-pipeline/2', 'nate-d-olson/engineering-bio-lacI-landscape/1', 'recombinationlab/sciL3Pipe/1', 'jcmcnch/MGPrimerEval/3', 'terrimporter/SCVUIU_ITS_metabarcode_pipeline/1', 'terrimporter/SCVUR_16S_metabarcode_pipeline/1', 'WatsonLab/GoogleMAGs/8', 'andnischneider/its_workflow/2', 'paulimer/RNA-seq-analysis-pipeline/3', 'Xiuying/CallVars/1', 'LUMC/hutspot/1', 'jimkwon/nar2020/3', 'mlweilert/chipnexus-processing-scripts/1', 'agata-sm/5433_read_processing_pipelines/1', 'slebedeva/CLIP_mapping/1', 'biorosetics/chipseq-snakemake/1', 'paulimer/RNA-seq-analysis-pipeline/1', 'bioinformatics-leibniz-hki/DAnIEL/9', 'WatsonLab/GoogleMAGs/2', 'BackofenLab/SalamiSnake/3', 'relorbany/Exp1_prelim_analysis/1', 'sterrettJD/Nicotine-Microbiome/1', 'Aexbrayat/snakevir/1', 'tkanholm/snakemake_pipelines/1', 'terrimporter/SCVUS_18S_metabarcode_pipeline/1'}",49.0,44.0,80.0,63.0,['Cutadapt']
92,"{'liulab-dfci', 'baigal628', 'chenfeiwang', 'QiangTU', 'kant', 'crazyhottommy', 'DongqingSun', 'taoliu', 'mengxiao', 'DongqingSun96', 'nuan604'}",{'liulab-dfci'},"{'liulab-dfci/MAESTRO/4', 'liulab-dfci/MAESTRO/5'}",11.0,1.0,4.0,2.0,['MAESTRO']
93,"{'nathanhaigh', 'SamStudio8', 'dgmaghini', 'elimoss', 'Ducklegs17', 'dadahan', 'bsiranosian'}","{'SamStudio8', 'elimoss', 'Ducklegs17', 'bhattlab', 'pgpmartin'}","{'Ducklegs17/pacbio_clr/1', 'pgpmartin/NanoBAC_pipeline/1', 'SamStudio8/reticulatus/1', 'Ducklegs17/pacbio_hifi/1', 'bhattlab/lathe/1', 'elimoss/lathe/1'}",7.0,5.0,7.0,6.0,['Racon']
94,{'pmenzel'},{'pmenzel'},{'pmenzel/ont-assembly-snake/1'},1.0,1.0,1.0,1.0,"['Minimap2', 'Racon']"
95,"{'fcarelli', 'aisakova'}","{'fcarelli', 'aisakova'}","{'aisakova/smart-seq-total/1', 'fcarelli/glre/34', 'aisakova/smart-seq-total/2'}",2.0,2.0,4.0,3.0,"['SAMtools', 'htseqcount']"
96,"{'Tina04021997', 'owenwilkins', 'athalexiou', 'BrandonJRomano', 'davidries84', 'jacksoneyres', 'evodify', 'glchn', 'shannonmargaret', 'elimoss', 'HeyLifeHD', 'JihedC', 'StephenRicher', 'tamburinif', 'vivekbhr', 'sorjuela', 'johnne', 'NielInfante', 'jonathho', 'Redmar-van-den-Berg', 'williamjeong2', 'bfremin', 'alexhbnr', 'jribado', 'khembach', 'lishen', 'vaquerizaslab', 'Juliepvr', 'sailalithabollepalli', 'yuxuth', 'bsennblad', 'ecalfee', 'MalbertRogers', 'jakevc', 'dilworthlab', 'andnischneider', 'csoneson', 'yuewangpanda', 'bsiranosian', 'biplabua', 'jaboehm', 'danlooo', 'ACSoupir', 'crazyhottommy', 'pawel125', 'agata-sm', 'markrobinsonuzh', 'samnooij', 'LLansing', 'ropolomx', 'sfrenk', 'gavinband', 'MaleloAS', 'halexand', 'mniederhuber', 'russHyde', 'liz-is', 'mworkentine', 'Kurtj-hub', 'fionarhuang', 'mestill7', 'redekarnr', 'MeHelmy', 'boasvdp', 'hbandukw', 'mgalland', 'KL-Bloomer', 'caipine', 'rmvpaeme', 'arunbodd', 'tanaes', 'shu251', 'cgendreau', 'groodri', 'aschuerch', 'franskloet', 'carissableker', 'paulimer', 'mberacochea', 'tijsbliek', 'cosnicolaou', 'vodkatad', 'tjs000', 'fennerm', 'davemcg', 'wsteenhu', 'abdeljalil-senhaji', 'rhpvorderman', 'benpkeith', 'navajain', 'tyhsu389', 'cErikson', 'montpetitlab', 'cmuyehara', 'sskashaf', 'deanpettinga', 'taylorreiter', 'sevance', 'aartrama', 'snystrom', 'sndrtj', 'dfloresDIL', 'desireetillo'}","{'bioinformatics-leibniz-hki', 'shenlab-sinai', 'Tina04021997', 'alexhbnr', 'tanaes', 'MaleloAS', 'shu251', 'vaquerizaslab', 'Juliepvr', 'BleekerLab', 'sailalithabollepalli', 'BrandonJRomano', 'athalexiou', 'davidries84', 'yuxuth', 'ecalfee', 'aschuerch', 'NCBR-FNLCR', 'LUMC', 'dilworthlab', 'paulimer', 'andnischneider', 'BeeCSI-Microbiome', 'HeyLifeHD', 'csoneson', 'vodkatad', 'maxsonBraunLab', 'mestill7', 'StephenRicher', 'AAFC-BICoE', 'ucvm', 'vivekbhr', 'fennerm', 'WeiSong-bio', 'davemcg', 'Finn-Lab', 'ACSoupir', 'crazyhottommy', 'wsteenhu', 'Dartmouth-Data-Analytics-Core', 'MeHelmy', 'abdeljalil-senhaji', 'arunbodd', 'benpkeith', 'NielInfante', 'tyhsu389', 'NBISweden', 'cErikson', 'montpetitlab', 'boasvdp', 'deanpettinga', 'pawel125', 'agata-sm', 'longread-well', 'samnooij', 'snystrom', 'KL-Bloomer', 'LUDC-bioinformatics', 'caipine', 'sfrenk', 'rmvpaeme', 'williamjeong2', 'dfloresDIL', 'liluacrobat', 'bhattlab', 'desireetillo'}","{'ecalfee/hilo/6', 'montpetitlab/Aguilar_and_Paul_et_al_2020/2', 'shenlab-sinai/NGS-Data-Charmer/1', 'longread-well/shortread-pipeline/5', 'BeeCSI-Microbiome/taxonomic_profiling_pipeline/1', 'pawel125/RNAseq_hpc_workflow/1', 'dfloresDIL/MEGA/4', 'KL-Bloomer/mres-malaria-gene-expression/1', 'ACSoupir/SnakeMake/1', 'mestill7/CutAndRun/1', 'Dartmouth-Data-Analytics-Core/DAC-RNAseq-pipeline/1', 'Finn-Lab/MAG_Snakemake_wf/9', 'MeHelmy/covid-pipeline/1', 'tanaes/snakemake_kneaddata/1', 'agata-sm/5433_read_processing_pipelines/1', 'WeiSong-bio/PocketChangeJ-pyflow-ChIPseq/1', 'rmvpaeme/cfRRBS_manuscript/1', 'shu251/tagseq-qiime2-snakemake/2', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/4', 'fennerm/megadaph/1', 'athalexiou/DIANA-RSeq/1', 'benpkeith/Furey-Lab-RNA-seq/2', 'samnooij/FECBUD_reference-free_analysis/1', 'arunbodd/MultiQC_WES/1', 'cErikson/GeneLab_DADA2_snakemake_Pipeline/1', 'agata-sm/piRNA-seq_pipeline/1', 'yuxuth/snake_hisat_cutadapt/1', 'shu251/tagseq-qiime2-snakemake/1', 'dfloresDIL/MEGA/3', 'tanaes/snakemake_shotqual/1', 'snystrom/cutNrun-pipeline/1', 'StephenRicher/HiCFlow/1', 'BrandonJRomano/initialRNAseq_snakemake/1', 'NCBR-FNLCR/Long-read-genome-assembly/1', 'montpetitlab/Aguilar_and_Paul_et_al_2020/3', 'sailalithabollepalli/ChIPSeqAnalysis/1', 'ucvm/vmmp/1', 'LUDC-bioinformatics/SMC_MYOCD/1', 'williamjeong2/snakemake_RNA-seq/1', 'NielInfante/Pipeline_control/1', 'boasvdp/COMBAT/3', 'HeyLifeHD/ScSnakeMeth/1', 'caipine/Snakemake-CHIPseq/2', 'dfloresDIL/MEGA/2', 'Tina04021997/How-to-RNAseq/1', 'aschuerch/bactofidia/1', 'shu251/qc-trim/1', 'Juliepvr/snakemake_metagenomic/1', 'longread-well/shortread-pipeline/3', 'maxsonBraunLab/cutAndQC---old/1', 'HeyLifeHD/amplicon_seq_pipeline/1', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/3', 'snystrom/faire-pipeline/1', 'fennerm/daphnia-mtdna-ma/1', 'wsteenhu/demux-snakemake/1', 'AAFC-BICoE/snakemake-partial-genome-pipeline/1', 'benpkeith/Furey-Lab-RNA-seq/1', 'BleekerLab/snakemake_rnaseq/1', 'desireetillo/CTCF_CutAndRun21/1', 'deanpettinga/ecc_workflow/1', 'vaquerizaslab/chess-2021/1', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/2', 'vodkatad/snakegatk/6', 'rmvpaeme/cfRRBS_manuscript/2', 'vodkatad/snakegatk/7', 'paulimer/RNA-seq-analysis-pipeline/2', 'andnischneider/its_workflow/1', 'davidries84/bismark_snakemake/1', 'LUMC/hutspot/1', 'crazyhottommy/pyflow-ChIPseq/1', 'paulimer/RNA-seq-analysis-pipeline/1', 'bhattlab/bhattlab_workflows/24', 'vodkatad/snakegatk/5', 'mestill7/HiC-fast/1', 'NielInfante/RNAseq_snakemake/1', 'liluacrobat/Shotgun_inStrain/21', 'sailalithabollepalli/ChIPSeqAnalysis/2', 'MaleloAS/Alice_MS/1', 'vodkatad/snakegatk/4', 'vodkatad/WXS_SNV/7', 'longread-well/shortread-pipeline/4', 'dfloresDIL/MEGA/1', 'agata-sm/5433_read_processing_pipelines/2', 'tyhsu389/uphl_reference_free/1', 'alexhbnr/ONTseq_QC/1', 'BleekerLab/genotype_from_rnaseq/1', 'csoneson/ARMOR/1', 'dilworthlab/CnT_pipeline_snakemake/1', 'NBISweden/LTS-A_Andersson_2010-MASCSEQ/1', 'abdeljalil-senhaji/DNAMethBS_pipeline/1', 'vodkatad/WXS_SNV/9', 'paulimer/RNA-seq-analysis-pipeline/3', 'vivekbhr/cage_pipeline/1', 'montpetitlab/Aguilar_and_Paul_et_al_2020/1', 'sfrenk/variant_calling_pipeline/1', 'bioinformatics-leibniz-hki/DAnIEL/9', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/1', 'StephenRicher/RNA-Flow/1', 'davemcg/NGS_genotype_calling/1', 'Tina04021997/TCRsequencing/1'}",103.0,66.0,135.0,100.0,['MultiQC']
97,"{'alliblk', 'nandsra21', 'huddlej'}",{'blab'},{'blab/cartography/8'},3.0,1.0,1.0,1.0,['Gnumap']
98,{'fcarelli'},{'fcarelli'},"{'fcarelli/glre/18', 'fcarelli/glre/41', 'fcarelli/glre/34'}",1.0,1.0,17.0,3.0,"['SAMtools', 'BEDTools', 'bedGraphToBigWig']"
99,"{'terrimporter', 'cgendreau', 'jcmcnch', 'jacksoneyres', 'JessAwBryant', 'gregdenay'}","{'terrimporter', 'Hajibabaei-Lab', 'CVUA-RRW', 'jcmcnch', 'AAFC-BICoE', 'JessAwBryant'}","{'jcmcnch/MGPrimerEval/1', 'Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline/2', 'terrimporter/SCVURL_rbcL_metabarcode_pipeline/1', 'jcmcnch/MGPrimerEval/2', 'CVUA-RRW/BAnalyzer/1', 'terrimporter/SCVUIU_ITS_metabarcode_pipeline/1', 'terrimporter/SCVUR_16S_metabarcode_pipeline/1', 'Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline/1', 'terrimporter/SCVUS_18S_metabarcode_pipeline/1', 'AAFC-BICoE/snakemake-barcoding-assembly-pipeline/1', 'JessAwBryant/qiime_with_snakemake/1'}",6.0,6.0,32.0,11.0,['VSEARCH']
100,"{'reliscu', 'leahkemp', 'vodkatad', 'elfyly', 'emorice', 'sfletc', 'rvosa'}","{'reliscu', 'leahkemp', 'vodkatad', 'Carroll-Lab', 'emorice', 'naturalis'}","{'naturalis/brassicaceae-hybseq-pipeline/2', 'leahkemp/testing_seattleflu_assembly/3', 'leahkemp/testing_seattleflu_assembly/4', 'Carroll-Lab/can_seq/1', 'reliscu/sam_ampseq/1', 'leahkemp/testing_seattleflu_assembly/1', 'vodkatad/snakegatk/19', 'vodkatad/WXS_SNV/3', 'emorice/RNASeq_example/2', 'leahkemp/testing_seattleflu_assembly/2'}",7.0,6.0,12.0,10.0,['VarScan']
101,{'msauria'},{'msauria'},{'msauria/T2T_Encode_Analysis/1'},1.0,1.0,1.0,1.0,"['Tablet', 'Tablet']"
102,{'rmvpaeme'},{'rmvpaeme'},{'rmvpaeme/cfRRBS_manuscript/2'},1.0,1.0,1.0,1.0,"['FastQC', 'BWA', 'SAMtools']"
103,{'drdariarago'},{'drdariarago'},{'drdariarago/organoids-probio/1'},1.0,1.0,1.0,1.0,"['BiocParallel', 'Salmon']"
104,{'fburic'},{'fburic'},"{'fburic/candia/6', 'fburic/candia/5'}",1.0,1.0,2.0,2.0,['SpectraST']
105,{'jdblischak'},{'jdblischak'},{'jdblischak/cardioqtl/1'},1.0,1.0,1.0,1.0,['GEMMA']
106,"{'halexand', 'CarolinaPB', 'fcarelli', 'redekarnr'}","{'halexand', 'CarolinaPB', 'fcarelli', 'NCBR-FNLCR'}","{'CarolinaPB/nanopore-assembly/1', 'NCBR-FNLCR/Long-read-genome-assembly/1', 'halexand/BUSCO-MAG-Phylogeny/2', 'fcarelli/glre/10'}",4.0,4.0,4.0,4.0,['BUSCO']
107,"{'idolawoye', 'tanaes'}","{'idolawoye', 'tanaes'}","{'tanaes/snakemake_anvio/1', 'idolawoye/BAGEP/1'}",2.0,2.0,2.0,2.0,['Centrifuge']
108,{'sztankatt'},{'sztankatt'},{'sztankatt/brandeis-secondment/4'},1.0,1.0,1.0,1.0,['Flexbar']
109,"{'lukenoaa', 'cuttlefishh'}",{'aomlomics'},{'aomlomics/tourmaline/1'},2.0,1.0,2.0,1.0,"['BioMe', 'TEMP']"
110,{'jmeppley'},{'jmeppley'},{'jmeppley/np_read_clustering/4'},1.0,1.0,1.0,1.0,['MCL']
111,"{'MigleSur', 'boasvdp', 'maanmi'}","{'MigleSur', 'boasvdp'}","{'MigleSur/BacDist/2', 'boasvdp/COMBAT/1', 'MigleSur/BacDist/1'}",3.0,2.0,3.0,3.0,['ClonalFrameML']
112,"{'chenfeiwang', 'rbonneville', 'QiangTU', 'kant', '0mician', 'alexpcheng', 'baigal628', 'peterch405', 'elimoss', 'fcarelli', 'kpalin', 'taoliu', 'mengxiao', 'dustinbleile', 'nuan604', 'arushiv', 'liulab-dfci', 'crazyhottommy', 'lculibrk', 'vinay-swamy', 'DongqingSun', 'DongqingSun96', 'dfloresDIL'}","{'alexpcheng', 'liulab-dfci', 'LoGT-KULeuven', 'bioinformatics-polito', 'elimoss', 'fcarelli', 'kpalin', 'recombinationlab', 'OSU-SRLab', 'lculibrk', 'vinay-swamy', 'dfloresDIL', 'arushiv'}","{'kpalin/VirusIntegrationFinder/1', 'dfloresDIL/MEGA/4', 'recombinationlab/sciL3Pipe/1', 'lculibrk/Ploidetect-pipeline/1', 'OSU-SRLab/SCLC-autopsy-genomics/1', 'bioinformatics-polito/PhyliCS_usage/1', 'dfloresDIL/MEGA/3', 'fcarelli/glre/6', 'vinay-swamy/ocular_transcriptomes_pipeline/1', 'alexpcheng/bisulfite_cfDNA/2', 'arushiv/islet_cage/3', 'elimoss/metagenomics_workflows/5', 'LoGT-KULeuven/y2h_Bam35-Bt_analysis/2', 'liulab-dfci/MAESTRO/4', 'fcarelli/glre/34'}",23.0,13.0,17.0,15.0,"['SAMtools', 'BEDTools']"
113,{'Terkild'},{'Terkild'},"{'Terkild/CITE-seq_optimization/1', 'Terkild/CITE-seq_optimization/3', 'Terkild/CITE-seq_optimization/2'}",1.0,1.0,6.0,3.0,['CITE-seq-Count']
114,{'standage'},{'standage'},{'standage/noble/1'},1.0,1.0,2.0,1.0,['Lighter']
115,{'benpkeith'},{'benpkeith'},{'benpkeith/Furey-Lab-RNA-seq/1'},1.0,1.0,1.0,1.0,"['Salmon', 'RNASEQR']"
116,{'snaqvi1990'},{'snaqvi1990'},{'snaqvi1990/pgc_scrnaseq/1'},1.0,1.0,4.0,1.0,['umis']
117,{'Juliepvr'},{'Juliepvr'},{'Juliepvr/snakemake_metagenomic/1'},1.0,1.0,1.0,1.0,['NEEDS']
118,"{'leboralli', 'mauerjh'}",{'leboralli'},{'leboralli/pipeline_ncrna/2'},2.0,1.0,1.0,1.0,['Scallop-LR']
119,{'mestill7'},"{'shenlab-sinai', 'mestill7'}","{'mestill7/Isoseq_processing/1', 'shenlab-sinai/Isoseq_processing/1'}",1.0,2.0,2.0,2.0,['gmap_build']
120,{'danlooo'},{'bioinformatics-leibniz-hki'},{'bioinformatics-leibniz-hki/DAnIEL/10'},1.0,1.0,1.0,1.0,['grabseqs']
121,"{'alliblk', 'nandsra21', 'huddlej'}",{'blab'},{'blab/cartography/8'},3.0,1.0,1.0,1.0,['opt-SNE']
122,"{'Juliepvr', 'martian-yan', 'Aexbrayat', 'AidanMar', 'JAlvarezJarreta', 'jffcole7', 'fennerm', 'thomasbtf', 'tijeco', 'Mass23', 'sterrettJD', 'jennahd', 'EulleSA', 'dgag0811', 'GeorgiaBreckell', 'pmenzel', 'waglecn', 'susheelbhanu', 'marcodelapierre'}","{'jennahd', 'fennerm', 'EulleSA', 'dgag0811', 'thomasbtf', 'tijeco', 'Juliepvr', 'GeorgiaBreckell', 'martian-yan', 'pmenzel', 'AidanMar', 'Aexbrayat', 'Mass23', 'waglecn', 'sterrettJD', 'susheelbhanu', 'marcodelapierre'}","{'GeorgiaBreckell/assembly_pipeline/1', 'susheelbhanu/snakemake-tutorial/1', 'pmenzel/score-assemblies/1', 'Juliepvr/snakemake_metagenomic/1', 'Mass23/EUCI_microbiome/4', 'marcodelapierre/nanopore-smk/1', 'EulleSA/Metagenomics_Analysis/1', 'jennahd/HGT_trees/1', 'fennerm/megadaph/1', 'sterrettJD/Nicotine-Microbiome/1', 'Aexbrayat/snakevir/1', 'thomasbtf/hello-diamond/3', 'waglecn/helD_search/1', 'thomasbtf/hello-diamond/1', 'AidanMar/GSoC-2021-compara-deep-learning/1', 'tijeco/FUSTr/1', 'martian-yan/Massive_Blast_Pipeline/1', 'dgag0811/Snakemake-Diamond-Megan/1'}",19.0,17.0,27.0,18.0,['Diamond']
123,"{'fmaguire', 'sevance', 'elimoss', 'jribado', 'cosnicolaou', 'navajain', 'bsiranosian', 'bfremin', 'tamburinif'}","{'AroArz', 'liluacrobat', 'bhattlab', 'fmaguire'}","{'AroArz/RGI/1', 'liluacrobat/Shotgun_inStrain/3', 'bhattlab/bhattlab_workflows/3', 'bhattlab/bhattlab_workflows/2', 'liluacrobat/Shotgun_inStrain/2', 'fmaguire/neisseria_amr_genomics/1'}",9.0,4.0,6.0,6.0,['Rgin']
124,"{'msauria', 'chrishah'}","{'msauria', 'chrishah'}","{'chrishah/prepro/1', 'msauria/T2T_Encode_Analysis/1'}",2.0,2.0,2.0,2.0,['Tablet']
125,{'dimitargnikolov'},{'osome-iu'},{'osome-iu/misinfo-partisanship-hksmisinforeview-2021/1'},1.0,1.0,1.0,1.0,['splots']
126,"{'linsalrob', 'shoffm'}","{'linsalrob', 'Snitkin-Lab-Umich'}","{'linsalrob/PPPF/2', 'Snitkin-Lab-Umich/genome_downloading_snakemake/1'}",2.0,2.0,2.0,2.0,"['QResearch', 'eFetch Snp', 'XTRACT']"
127,"{'nathanhaigh', 'Ducklegs17', 'GeorgiaBreckell', 'pmenzel', 'martynakgajos', 'boasvdp'}","{'Ducklegs17', 'GeorgiaBreckell', 'pmenzel', 'martynakgajos', 'boasvdp'}","{'Ducklegs17/pacbio_clr/1', 'pmenzel/ont-assembly-snake/1', 'boasvdp/COMBAT/2', 'martynakgajos/nanopore-transcriptome-analysis/1', 'GeorgiaBreckell/assembly_pipeline/2'}",6.0,5.0,8.0,5.0,['Filtlong']
128,"{'natir', 'boasvdp'}","{'natir', 'boasvdp'}","{'boasvdp/COMBAT/3', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/1'}",2.0,2.0,2.0,2.0,['ReferenceSeeker']
129,"{'mworkentine', 'waglecn'}","{'ucvm', 'waglecn'}","{'waglecn/helD_search/1', 'ucvm/vmmp/1'}",2.0,2.0,10.0,2.0,['USEARCH']
130,{'yongchao'},{'yongchao'},{'yongchao/motrpac_rrbs/1'},1.0,1.0,1.0,1.0,['LAmbDA']
131,{'scottgigante'},{'scottgigante'},{'scottgigante/haplotyped-methylome/6'},1.0,1.0,1.0,1.0,"['nanopolish', 'SAMtools']"
132,"{'mikheyev', 'reedacartwright'}",{'MaevaTecher'},{'MaevaTecher/varroa-host-jump/1'},2.0,1.0,1.0,1.0,"['Bowtie', 'SAMtools', 'SAMtools', 'SAMtools', 'VARIANT', 'SAMtools']"
133,{'danlooo'},{'bioinformatics-leibniz-hki'},{'bioinformatics-leibniz-hki/DAnIEL/1'},1.0,1.0,1.0,1.0,['PepBuild']
134,"{'lukenoaa', 'cuttlefishh', 'claireewilliams', 'danlooo', 'shu251', 'halexand', 'swo'}","{'bioinformatics-leibniz-hki', 'openbiome', 'claireewilliams', 'shu251', 'aomlomics'}","{'aomlomics/tourmaline/1', 'openbiome/donor-effects/2', 'shu251/tagseq-qiime2-snakemake/2', 'shu251/tagseq-qiime2-snakemake/1', 'claireewilliams/SnakeMakeQIIMECW/2', 'openbiome/donors-16s/1', 'bioinformatics-leibniz-hki/DAnIEL/8', 'openbiome/donor-effects/3', 'openbiome/donor-effects/1', 'claireewilliams/SnakeMakeQIIMECW/1'}",7.0,5.0,87.0,10.0,['QIIME']
135,{'paulimer'},{'paulimer'},"{'paulimer/RNA-seq-analysis-pipeline/1', 'paulimer/RNA-seq-analysis-pipeline/3', 'paulimer/RNA-seq-analysis-pipeline/2'}",1.0,1.0,5.0,3.0,['refgenie']
136,{'eiserdr'},{'eiserdr'},{'eiserdr/histone-chipseq/1'},1.0,1.0,1.0,1.0,['SICER']
137,{'jlanga'},{'jlanga'},{'jlanga/smsk_pantherscore/4'},1.0,1.0,1.0,1.0,"['SAMtools', 'BiocParallel']"
138,{'DSJM'},{'DSJM'},{'DSJM/ConbAC/1'},1.0,1.0,1.0,1.0,['sLDA']
